"year","scenario","growthrate","population"
2020,"M2",10.5574969285749,5319324
2021,"M2",10.3055167925226,5374142.38280687
2022,"M2",10.0595507703643,5428203.84095388
2023,"M2",9.81945532076203,5481505.84604212
2024,"M2",9.58509032833768,5534046.57471174
2025,"M2",9.35631902190505,5585824.87994683
2026,"M2",9.13300789465218,5636840.26267352
2027,"M2",8.91502662622928,5687092.84370306
2028,"M2",8.7022480066962,5736583.33606607
2029,"M2",8.49454786228474,5785313.01778027
2030,"M2",8.29180498293344,5833283.70508893
2031,"M2",8.09390105155137,5880497.72620355
2032,"M2",7.90072057497046,5926957.89558003
2033,"M2",7.7121508165456,5972667.48875406
2034,"M2",7.52808173036385,6017630.21775769
2035,"M2",7.34840589702346,6061850.20713596
2036,"M2",7.17301846094587,6105331.97057924
2037,"M2",7.00181706918391,6148080.38818387
2038,"M2",6.83470181169032,6190100.68435141
2039,"M2",6.6715751630123,6231398.40633368
2040,"M2",6.51234192537723,6271979.40342897
2041,"M2",6.35690917313702,6311849.80683236
2042,"M2",6.20518619853841,6351016.01014096
2043,"M2",6.0570844587874,6389484.65051349
2044,"M2",5.91251752437752,6427262.5904814
2045,"M2",5.77140102865095,6464356.90040751
2046,"M2",5.63365261856375,6500774.84158682
2047,"M2",5.49919190662595,6536523.84998247
2048,"M2",5.36794042398908,6571611.52058916
2049,"M2",5.23982157465306,6606045.59241499
2050,"M2",5.1147605907661,6639833.93407187
2051,"M2",4.99268448899166,6672984.52996399
2052,"M2",4.87352202791649,6705505.46706272
2053,"M2",4.75720366647565,6737404.9222562
2054,"M2",4.64366152336947,6768691.15026104
2055,"M2",4.53282933744931,6799372.47208308
2056,"M2",4.4246424290486,6829457.26401397
2057,"M2",4.31903766223716,6858953.94714988
2058,"M2",4.21595340797608,6887870.97741852
2059,"M2",4.11532950815217,6916216.83610023
2060,"M2",4.01710724047076,6944000.0208292
2061,"M2",3.92122928418635,6971229.03706026
2062,"M2",3.82763968665141,6997912.38998725
2063,"M2",3.7362838306633,7024058.57689836
2064,"M2",3.64710840259071,7049676.07995446
2065,"M2",3.56006136126079,7074773.35937611
2066,"M2",3.47509190758875,7099358.8470253
2067,"M2",3.39215045493262,7123440.94036796
2068,"M2",3.31118860015524,7147027.99680359
2069,"M2",3.23215909537711,7170128.32834837
2070,"M2",3.15501582040333,7192750.19665863
2071,"M2",3.07971375580876,7214901.80838138
2072,"M2",3.00620895666545,7236591.3108192
2073,"M2",2.93445852689719,7257826.7878969
2074,"M2",2.86442059424613,7278616.25641763
2075,"M2",2.79605428583682,7298967.66259634
2076,"M2",2.72931970432366,7318888.87885909
2077,"M2",2.66417790460744,7338387.70089642
2078,"M2",2.60059087110772,7357471.84496002
2079,"M2",2.53852149557756,7376148.94539156
2080,"M2",2.47793355544792,7394426.55237333
2081,"M2",2.41879169268872,7412312.12989041
2082,"M2",2.3610613931746,7429813.05389445
2083,"M2",2.30470896654309,7446936.6106595
2084,"M2",2.24970152653345,7463689.9953205
2085,"M2",2.19600697179493,7480080.31058554
2086,"M2",2.14359396715298,7496114.56561313
2087,"M2",2.09243192532257,7511799.67504609
2088,"M2",2.04249098905804,7527142.45819399
2089,"M2",1.9937420137289,7542149.63835621
2090,"M2",1.94615655031163,7556827.84227833
2091,"M2",1.89970682878726,7571183.59973427
2092,"M2",1.85436574193535,7585223.34322752
2093,"M2",1.81010682951464,7598953.40780449
2094,"M2",1.76690426282141,7612380.03097372
2095,"M2",1.72473282961624,7625509.35272466
2096,"M2",1.68356791941064,7638347.41564007
2097,"M2",1.64338550910483,7650900.16509644
2098,"M2",1.60416214896821,7663173.44954683
2099,"M2",1.56587494895464,7675173.02088096
2100,"M2",1.52850156534412,7686904.53485767
