park,region,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01
Kilby Park,south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinaskan Lake Park,north,0,0,0,0,2169.6,7906.5,6700.9,4769.8,4003.4,0,0,0,0,0,0,0,3469.6,4197.8,7369.2,6621.1,2943.4,0,0,0,0,0,0,0,2463.9,7859.5,11724.3,10749.5,5417.2,0,0,0,0,0,0,0,1888.6,8073.4,4867.9,5790.5,4197.7,0,0,0,0,0,0,0,1937,3604.2,5434.1,5334,1429.8,0,0,0,0,0,0,0,1698.1,2942.6,7206.6,5383.2,3025.4,0,0,0,0,0,0,0,2491.9,5922.3,8710.9,9108.4,4333.4,0,0,0,0,0,0,0,1266.2,4041.7,5663.1,6190,3109.4,0,0,0,0,0,0,0,1874.3,4360,6955.7,6367.5,3620.3,0,0,0,0,0,0,0,2455.6,5219.3,6868.1,6731.7,6731.7,0,0,0
Kiskatinaw Park,north,0,0,0,0,432.7,9503.3,7630,7328,1497,0,0,0,0,0,0,0,403.2,636.8,1139.2,1241.6,0,0,0,0,0,0,0,0,364.8,828.8,905.6,1273.6,169.6,0,0,0,0,0,0,0,348.8,742.4,10450.1,992,128,70.4,0,0,0,0,0,0,576,4637.2,4082.8,4315.6,1438.2,1747.6,0,0,0,0,0,0,2254.2,5000.5,9457.9,5540.2,1733.8,0,0,0,0,0,0,0,3310.2,4696.9,7396.2,5048.9,759.2,0,0,0,0,0,0,0,592.2,4568.7,4096.7,4237.5,716.4,0,0,0,0,0,0,0,499.2,4800.9,5940.8,4944.2,928.6,0,0,0,0,0,0,0,649.6,7463.4,5627.5,4229.7,863,0,0,0
Kitimat River Park,north,0,0,0,0,280,311.5,308,238,248.5,0,0,0,0,0,0,0,82,94,84,67,82,0,0,0,0,0,0,0,80,63,77,55,44,0,0,0,0,0,0,0,81,82,83,63,66,0,0,0,0,0,0,0,86,73,73,58,40,0,0,0,0,0,0,0,147,84,137,89,74,0,0,0,0,0,0,0,157,92,149,97,80,0,0,0,0,0,0,0,82,74,72,56,44,0,0,0,0,0,0,0,45,32,53,36,20,0,0,0,0,0,0,0,60,63,27,53,48,0,0,0
Kleanza Creek Park,north,0,0,0,0,4726.4,5397.9,0,8491,2132.4,0,0,0,0,0,0,0,2951.2,5335.7,6543.1,6239.9,2415,0,0,0,0,0,0,0,3115.6,4640.2,7881.9,8047.1,2427.1,0,0,0,0,0,0,0,3087,4663,4618.4,5822,1903.5,0,0,0,0,0,0,0,8366.9,8343.4,8316.9,8722.1,1083.8,0,0,0,0,0,0,0,5726,7285.7,9848.8,7012.3,2255.9,0,0,0,0,0,0,0,5681.9,7249.6,9216.4,9656.1,2607.2,0,0,0,0,0,0,0,3016.4,5613.2,5592.4,8965.2,2148,0,0,0,0,0,0,0,4546.4,6339.8,11436.5,13710.2,3429.9,0,0,0,0,0,0,0,6806.4,10091.5,11224.6,11771.2,2585.1,0,0,0
Kokanee Creek Park,ok,0,0,0,0,19517.5,19996.4,16187.1,36822.9,9224.1,0,0,0,0,0,0,0,18135.8,21333.4,41457.7,48269.6,15806.4,0,0,0,0,0,0,0,20806.5,31861.1,56034.3,78423.7,31687.3,0,0,0,0,0,0,0,21289.5,27767.4,60332.4,47568.9,33484.1,0,0,0,0,0,0,0,17629.1,17465.1,60905.9,73782.9,38584,0,0,0,0,0,0,0,29861.7,50721.2,78600,107443.2,39750.7,0,0,0,0,0,0,0,19529.2,42943.3,81640.3,101839.6,51732.9,0,0,0,0,0,0,2156.4,20864.3,48350.8,80292.6,120380.5,54333.5,406.4,0,0,0,0,0,2422.5,44181,44160.8,81172.1,94083.9,54314.4,0,0,0,0,0,0,2188.5,118679,47070.3,82638,99707.7,76343.4,0,0,0
Kokanee Glacier Park,ok,0,0,0,0,0,57,2972,4317,0,0,0,0,0,0,0,0,0,248,3262,4676,259,115,0,0,0,0,0,0,0,85,3340,4905,3275,765,0,0,372,336,520,360,94,0,3512,4966,2160,780,0,216,744,672,744,360,65,1076,4621,6365,3666,1258,0,173,465,420,465,450,122,2394,4796,5993,3810,2099,0,189,464,435,465,450,120,2231,6353,6874,3966,1069,0,239,465,420,465,450,180,507,5973,5279,4063,1968,12,345,465,420,465,450,172,1552,6162,5353,4371,1977,46,360,465,420,465,415,67,4284,11681,10013,5812,3083,0,0
Koksilah River Park,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591.5,1162,1991.5,1057,826,1760.5,1106,913.5,626.5,675.5,458.5,493.5,777,976.5,703.5,2257.5,497,619.5,605.5,252,388.5,441,360.5,686,616,780.5,973,1172.5,679,843.5,483,381.5,395.5,357,542.5,626.5,766.5,514.5,1631,1347.5,861,805,406,266,301,276.5,472.5,497,721,1039.5,1043,1515.5,819,696.5,595,0
Kootenay Lake Park,ok,0,0,0,0,1288.1,2102.6,4922.7,6498.8,2436,0,0,0,0,0,0,0,2373.7,2917.8,5372.3,9517.4,4939.1,0,0,0,0,0,0,0,4139.9,2792.6,7402.4,9418.9,4864.9,0,0,0,0,0,0,0,3923.1,2913.3,9868.7,8602,4301.9,0,0,0,0,0,0,0,2507.1,2874.5,9352.5,8422.7,4248.2,0,0,0,0,0,0,0,1694.9,6462.8,12815.5,12114.3,5179.4,0,0,0,0,0,0,0,2573.3,5563.4,10268.9,12032.3,5699.8,0,0,0,0,0,0,1073.6,3579.9,6192.6,10152.3,9528.2,6362.5,208,0,0,0,0,0,0,4048,5282.7,11860.8,9979.2,5543.1,0,0,0,0,0,0,555.8,4626.9,7018.4,11844.6,10915.6,6069.1,0,0,0
Kunxalas Conservancy,west,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2625,5306,6940.5,0,0,0,0,0,0,0,0,0,693,3983,4151,2054.5,546,192.5,304.5,402.5,262.5,273,784,1253,3591,3108,1767.5,2821,917,238,245,304.5,336,1071,1788.5,2219,3619,3741.5,3741.5,1806,266,308,192.5,395.5,437.5,630,1176,2677.5,3143,2954,3129,973,0,0
