park,region,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01
Drewry Point Park,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Driftwood Canyon Park,north,0,0,0,0,2436,4004,4802,3797.5,1813,0,0,0,0,0,0,0,1337,1337,5607,6510,3570,0,0,0,0,0,0,0,1043,1421,4210.5,6380.5,1687,0,0,0,0,0,0,0,966,1473.5,4777.5,6023.5,1907.5,0,0,0,0,0,0,0,1050,1925,4550,5600,1750,0,0,0,0,0,0,0,1102.5,2012.5,4112.5,4375,875,0,0,0,0,0,0,0,1018.5,1802.5,4291,5453,1438.5,0,0,0,0,0,0,0,1057,1914.5,4319,5141.5,1354.5,0,0,0,0,0,0,0,1059,1910,4241,4990,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drumbeg Park,west,290.5,2250.5,2712.5,2327.5,1603,4144,7584.5,5491.5,2604,2849,1480.5,1827,2208.5,1757,2432.5,2639,2464,6296.5,6562.5,7273,4389,2499,388.5,3843,388.5,1935.5,0,2639,3300.5,5554.5,10899,8627.5,3461.5,2397.5,2124.5,2128,1904,592,3220,1823.5,5351.5,1872.5,8347.5,7759.5,3293.5,1340.5,3013.5,2600.5,1501.5,1932,3153.5,2709,3451,3923.5,3149,7756,3902.5,3108,2534,3041.5,2247,2814,3262,3370.5,4144,5502,1382.5,8046.5,3552.5,3115,2621.5,3143,2152.5,2859.5,8368.5,4203.5,4284,5120.5,8561,8456,3580.5,2646,5593,728,1697.5,2488.5,3118.5,2380,3958.5,2205,8053.5,9243.5,3643.5,2947,2478,1067.5,2033.5,2453.5,3080,2229.5,4357.5,2544.5,7094.5,9709,5047,3286.5,3423,2586.5,3031,2667,1001,3213,4679.5,6471.5,7868,10993.5,4795,2523.5,3199,0
Dry Gulch Park,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2341.5,2873.5,3643.5,4536,2789.5,0,0,0,0,0,0,0,2338,2821,4809,5512.5,2849,0,0,0,0,0,0,0,1844.5,3069.5,4560.5,5323.5,3104.5,0,0,0,0,0,0,0,8816.5,3538.5,4819.5,5645.5,3367,0,0,0,0,0,0,0,3895.5,10500,6328,5631.5,3237.5,0,0,0,0,0,0,0,4851,3416,6559,6373.5,3080,0,0,0,0,0,0,0,5855.5,3573.5,5904.5,5883.5,3143,0,0,0,0,0,0,0,3734.5,7094.5,7245,7539,3447.5,0,0,0
Dunn Peak Park,tc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,503,450,82,63,0,0,0,0,0,0,0,63,93,95,340,88,679,0,0,0,0,0,0,97,151,275,210,76,0,0,0,0,0,0,0,54,96,0,0,0,0,0,0,0,0,0,0,15,44,61,54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.C. Manning Park,ok,81588.5,55041,59153.5,39126.5,113799,116497.5,191887,178853,130332.5,65747,24843,0,58786,55821.5,80983,42171.5,73164,103288,202488.5,184331,136097.5,42178.5,5852,0,47876.5,54981.5,52899,27632.5,68294.5,103986,188394.5,200842,123292.5,29302,7479.5,0,62789,55279,64340.5,34216,52763,123690,209811,207388,111444.5,30044,6814.5,0,56469,55356,54131,34632.5,58586.5,87983.5,164577,201336.5,120029,41601,30989,36627.5,26722.5,51656.5,46112.5,27118,97638,154676,195581.5,200955.5,121938,52633,32000.5,49245,42231,59514,48769,35675.5,86324,98922.5,135797.5,152041.5,123164,66874.5,30961,40218.5,36788.5,50232,51733.5,37534,78893.5,106225,190578,151966.5,127060.5,78137.5,33110,39641,39074,55832,56098,48139,88106,94349.5,196502,174116,116390.5,78697.5,35738.5,56518,47239.5,59552.5,64830.5,54894,118525,139672.5,164017,157077.5,105179.5,57396.5,21955.5,0
Elk Falls Park,west,4403,4350,6079,6163,9495.5,8735.5,20951,14892,10131.5,7759.5,4458.5,3884,5155,3580,10303,7657.5,9194,7363.5,16344,14500,1690,7412,4930.5,4237.5,8690,5824,9431.5,8008,9070.5,12036.5,15599.5,16135.5,19533.5,5543.5,3486.5,2982,5618,4557,9338,11292.5,15820,15732.5,21648,17041.5,12614,11963.5,6164.5,5631.5,12355.5,15019.5,17108.5,4178.5,15131.5,5599.5,2107,16618,11876,9818.5,29761.5,3060,4108,6613.5,5642,14969,43859,36082,29762.5,33397,32881,20749,12987,13595,17458.5,14887.5,12044,23882,16709.5,17643.5,30938.5,33524,23216,10476,31534.5,6874.5,8130,6584,2240,12806,15312.5,19214.5,31713,31152.5,24027,17721,6437,8847.5,8875,7429.5,9177.5,8918.5,17832.5,18436.5,28828.5,34124.5,21634.5,16165.5,8563.5,7018,5626,6426.5,10116.5,10932.5,12560,17701.5,28482,32550,22458,10056.5,8802,0
Elk Lakes Park,ok,0,0,0,0,0,0,722,861,0,0,0,0,0,0,0,0,0,213,704,613,380,0,0,0,0,0,0,0,0,420,2284,1369,479,0,0,0,0,0,0,0,12,63,24,166,235,11,0,0,0,0,0,0,0,130,661,893,282,210,0,0,0,0,0,0,34,1,661,1120,521,399,5,0,0,0,0,0,64,607,1218,1269,664,182,0,0,0,0,0,0,0,232,1013,864,227,161,0,0,0,0,0,0,0,231,614,581,313,148,0,0,0,0,0,0,0,120,323,369,132,22,0,0
Ellison Park,ok,0,0,0,7378,10314.5,9198,15694,13947.5,5642,3972.5,0,0,0,0,0,8858.5,7973,7952,9058,12547.5,4284,2516.5,0,0,0,0,0,3122,6702.5,6699,15197,15393,5638.5,3307.5,0,0,0,0,1155,3937.5,7434,8435,15396.5,11214,5187,4130,0,0,0,0,0,6251,11683,9425.5,14269.5,8067.5,7833,3584,0,0,0,0,0,9387,14150.5,16705.5,21721,19638.5,14322,5964,0,0,0,0,0,12372.5,16261,16852.5,25368,25123,18056.5,4861.5,0,0,0,0,0,10944.5,17661,18868.5,23401,22004.5,13972,3052,0,0,0,0,0,11977,21668.5,19652.5,25287.5,19225.5,14168,3241,0,0,0,0,0,13797,20716.5,20132,22067.5,24930.5,14189,4928,0,0
Emory Creek Park,south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
