park,year,BCpop,month,avgtemp,avgprecip,visitortotal,visitorcorrected
Skaha Bluffs Park,2021,5214805,aug,20.8,0.406666667,7605.5,1.458443796
Skaha Bluffs Park,2021,5214805,sep,15.6,0.61,7238,1.387971362
Skaha Bluffs Park,2021,5214805,oct,9,1.55483871,12369,2.371900771
Skaha Bluffs Park,2021,5214805,nov,,,,
Skaha Bluffs Park,2021,5214805,dec,,,,
Skaha Bluffs Park,2022,5286528,jan,,,,
Skaha Bluffs Park,2022,5286528,feb,,,,
Skaha Bluffs Park,2022,5286528,mar,,,,
Skaha Bluffs Park,2022,5286528,apr,6.9,0.365517241,7710.5,1.45851871
Skaha Bluffs Park,2022,5286528,may,12.1,1.083333333,22445.5,4.245792323
Skaha Bluffs Park,2022,5286528,jun,16.9,1.813333333,11249,2.127861614
Skaha Bluffs Park,2022,5286528,jul,22.5,0.743333333,17391.5,3.289777336
Skaha Bluffs Park,2022,5286528,aug,22.9,0.893548387,21049,3.981630287
Skaha Bluffs Park,2022,5286528,sep,,,,
Skaha Bluffs Park,2022,5286528,oct,,,,
Skaha Bluffs Park,2022,5286528,nov,,,,
Skaha Bluffs Park,2022,5286528,dec,,,,
E.C. Manning Park,2019,5094796,jan,,,,
E.C. Manning Park,2019,5094796,feb,-7.5,3.85,1911,0.37508862
E.C. Manning Park,2019,5094796,mar,1.6,1.490322581,1575,0.309138972
E.C. Manning Park,2019,5094796,apr,6.1,3.346666667,11140.5,2.186642998
E.C. Manning Park,2019,5094796,may,12.6,1.674193548,337596,66.26290827
E.C. Manning Park,2019,5094796,jun,13.3,2.5,133826,26.267195
E.C. Manning Park,2019,5094796,jul,15.3,1.748387097,152666.5,29.96518408
E.C. Manning Park,2019,5094796,aug,16.4,0.432258065,145575.5,28.57337173
E.C. Manning Park,2019,5094796,sep,12.4,4.026666667,100166.5,19.66055167
E.C. Manning Park,2019,5094796,oct,5.1,4.322580645,78967,15.4995411
E.C. Manning Park,2019,5094796,nov,,,,
E.C. Manning Park,2019,5094796,dec,,,,
E.C. Manning Park,2020,5158728,jan,,,,
E.C. Manning Park,2020,5158728,feb,,,,
E.C. Manning Park,2020,5158728,mar,,,,
E.C. Manning Park,2020,5158728,apr,,,,
E.C. Manning Park,2020,5158728,may,,,,
E.C. Manning Park,2020,5158728,jun,12.2,2.713333333,104954.5,20.34503467
E.C. Manning Park,2020,5158728,jul,15.5,1.303225806,207200,40.16493988
E.C. Manning Park,2020,5158728,aug,15.4,0.787096774,172728.5,33.4827694
E.C. Manning Park,2020,5158728,sep,14.2,2.846666667,77003.5,14.92683855
E.C. Manning Park,2020,5158728,oct,,,,
E.C. Manning Park,2020,5158728,nov,,,,
E.C. Manning Park,2020,5158728,dec,,,,
E.C. Manning Park,2021,5214805,jan,-0.1,5.296774194,99879.5,19.15306517
E.C. Manning Park,2021,5214805,feb,-3.1,9.75,67585,12.96021615
E.C. Manning Park,2021,5214805,mar,2.5,2.35483871,71452.5,13.70185462
E.C. Manning Park,2021,5214805,apr,6.5,1.893333333,50330,9.651367597
E.C. Manning Park,2021,5214805,may,9.8,1.567741935,71904,13.78843504
E.C. Manning Park,2021,5214805,jun,16.4,1.1,75589.5,14.49517288
E.C. Manning Park,2021,5214805,jul,18.4,0.393548387,165161.5,31.67165407
E.C. Manning Park,2021,5214805,aug,16.5,1.961290323,213573.5,40.95522268
E.C. Manning Park,2021,5214805,sep,11.8,4.333333333,166302.5,31.8904542
E.C. Manning Park,2021,5214805,oct,5.9,4.129032258,65579.5,12.57563802
