"year","scenario","growthrate","population"
2020,"M1",11.0454358954423,5286528
2021,"M1",10.7998728236982,5343621.83007892
2022,"M1",10.5597691310837,5400049.24292837
2023,"M1",10.3250034442169,5455804.76996055
2024,"M1",10.0954570880993,5510883.61289673
2025,"M1",9.87101402612498,5565281.62233598
2026,"M1",9.65156080142389,5618995.276291
2027,"M1",9.43698647950871,5672021.65874178
2028,"M1",9.22718259219713,5724358.43825389
2029,"M1",9.02204308278055,5776003.8467051
2030,"M1",8.82146425241234,5826956.6581606
2031,"M1",8.62534470768739,5877216.16793399
2032,"M1",8.43358530938747,5926782.17186797
2033,"M1",8.2460891223657,5975654.94586604
2034,"M1",8.06276136654586,6023835.22570338
2035,"M1",7.88350936901035,6071324.18714259
2036,"M1",7.70824251715383,6118123.42637735
2037,"M1",7.53687221287811,6164234.94082457
2038,"M1",7.36931182780535,6209661.11028336
2039,"M1",7.20547665948733,6254404.67847683
2040,"M1",7.04528388858781,6298468.73499081
2041,"M1",6.88865253701712,6341856.69762143
2042,"M1",6.7355034269974,6384572.29514178
2043,"M1",6.58575914103775,6426619.55049613
2044,"M1",6.43934398279967,6468002.76442836
2045,"M1",6.29618393883206,6508726.49955008
2046,"M1",6.15620664115721,6548795.56485208
2047,"M1",6.01934133068834,6588215.00066182
2048,"M1",5.88551882146082,6626990.06404805
2049,"M1",5.75467146565825,6665126.21467283
2050,"M1",5.62673311941625,6702629.10109002
2051,"M1",5.5016391093865,6739504.54748829
2052,"M1",5.37932620004394,6775758.54087591
2053,"M1",5.25973256172125,6811397.21870371
2054,"M1",5.14279773935344,6846426.8569219
2055,"M1",5.02846262191776,6880853.85846562
2056,"M1",4.91666941255263,6914684.74216379
2057,"M1",4.80736159934132,6947926.13206482
2058,"M1",4.70048392674482,6980584.7471728
2059,"M1",4.59598236766997,7012667.39158683
2060,"M1",4.49380409615858,7044180.94503614
2061,"M1",4.39389746068355,7075132.35380313
2062,"M1",4.29621195803905,7105528.62202625
2063,"M1",4.20069820781078,7135376.80337434
2064,"M1",4.10730792741402,7164683.99308393
2065,"M1",4.01599390768662,7193457.32035065
2066,"M1",3.92670998902444,7221703.94106609
2067,"M1",3.8394110380477,7249431.03089094
2068,"M1",3.75405292478573,7276645.77865548
2069,"M1",3.67059250036914,7303355.38007846
2070,"M1",3.58898757521781,7329567.03179496
2071,"M1",3.50919689771404,7355287.92568452
2072,"M1",3.43118013334959,7380525.2434902
2073,"M1",3.35489784433642,7405286.15171965
2074,"M1",3.28031146967081,7429577.79681933
2075,"M1",3.20738330564045,7453407.30061281
2076,"M1",3.13607648676527,7476781.75599455
2077,"M1",3.06635496716167,7499708.22287042
2078,"M1",2.99818350232122,7522193.72433646
2079,"M1",2.93152763129433,7544245.2430873
2080,"M1",2.86635365927026,7565869.71804625
2081,"M1",2.80262864054413,7587074.04120867
2082,"M1",2.74032036186281,7607865.05469076
2083,"M1",2.67939732614095,7628249.54797594
2084,"M1",2.61982873653902,7648234.25535121
2085,"M1",2.56158448089553,7667825.85352598
2086,"M1",2.50463511650511,7687030.95942596
2087,"M1",2.4489518552351,7705856.1281553
2088,"M1",2.3945065489731,7724307.85111961
2089,"M1",2.34127167539788,7742392.55430349
2090,"M1",2.28922032406684,7760116.59669571
2091,"M1",2.23832618281265,7777486.26885577
2092,"M1",2.1885635244423,7794507.79161564
2093,"M1",2.13990719373191,7811187.31491052
2094,"M1",2.09233259471071,7827530.91673289
2095,"M1",2.04581567822765,7843544.60220416
2096,"M1",2.00033292979442,7859234.30275826
2097,"M1",1.95586135769887,7874605.87543212
2098,"M1",1.91237848138248,7889665.10225767
2099,"M1",1.8698623200765,7904417.6897504
2100,"M1",1.82829138169045,7918869.26848986
