park,year,BCpop,month,avgtemp,avgprecip,visitortotal,visitorcorrected
fintry,2019,5094796,jan,,,,
fintry,2019,5094796,feb,,,,
fintry,2019,5094796,mar,,,,
fintry,2019,5094796,apr,9.6,0.328571429,5337.5,1.047637629
fintry,2019,5094796,may,15.9,0.443478261,10720.5,2.104205939
fintry,2019,5094796,jun,17.4,0.836666667,12372.5,2.428458372
fintry,2019,5094796,jul,21.9,0.44,19634,3.853736244
fintry,2019,5094796,aug,22,0.833333333,21017.5,4.125287843
fintry,2019,5094796,sep,16.5,1.586666667,10083.5,1.979176399
fintry,2019,5094796,oct,8.8,0.55,2502.5,0.491187478
fintry,2019,5094796,nov,,,,
fintry,2019,5094796,dec,,,,
fintry,2020,5158728,jan,,,,
fintry,2020,5158728,feb,,,,
fintry,2020,5158728,mar,,,,
fintry,2020,5158728,apr,,,,
fintry,2020,5158728,may,14,2.580645161,3843,0.744951081
fintry,2020,5158728,jun,16.9,2.106666667,12057.5,2.337300978
fintry,2020,5158728,jul,21.2,0.335714286,19026,3.688118466
fintry,2020,5158728,aug,22.2,0.379310345,16737,3.244404435
fintry,2020,5158728,sep,18.5,0.413793103,14549.5,2.820365796
fintry,2020,5158728,oct,9,1.668965517,1652,0.32023398
fintry,2020,5158728,nov,,,,
fintry,2020,5158728,dec,,,,
fintry,2021,5214805,jan,,,,
fintry,2021,5214805,feb,,,,
fintry,2021,5214805,mar,,,,
fintry,2021,5214805,apr,10.6,0.15,3619,0.693985681
fintry,2021,5214805,may,14.7,0.472413793,14752.5,2.828964841
fintry,2021,5214805,jun,21.9,0.592592593,12208,2.341027133
fintry,2021,5214805,jul,26.1,0.144827586,24444,4.687423595
fintry,2021,5214805,aug,21.6,0.870967742,2156,0.413438278
fintry,2021,5214805,sep,16.5,0.872413793,20002.5,3.835713895
fintry,2021,5214805,oct,9.6,1.793548387,1921.5,0.368470154
fintry,2021,5214805,nov,,,,
fintry,2021,5214805,dec,,,,
fintry,2022,5286528,jan,,,,
fintry,2022,5286528,feb,,,,
fintry,2022,5286528,mar,,,,
fintry,2022,5286528,apr,8.3,0.293333333,7710.5,1.45851871
fintry,2022,5286528,may,11.9,1.609090909,22445.5,4.245792323
fintry,2022,5286528,jun,16.2,2.416666667,11249,2.127861614
fintry,2022,5286528,jul,21.5,0.496428571,17391.5,3.289777336
fintry,2022,5286528,aug,22.1,0.403225806,21049,3.981630287
fintry,2022,5286528,sep,,,,
fintry,2022,5286528,oct,,,,
fintry,2022,5286528,nov,,,,
fintry,2022,5286528,dec,,,,
skaha,2019,5094796,jan,,,,
skaha,2019,5094796,feb,,,,
skaha,2019,5094796,mar,,,,
skaha,2019,5094796,apr,9.1,0.54,16583,3.254889892
skaha,2019,5094796,may,15.7,0.774193548,19106.5,3.750199223
skaha,2019,5094796,jun,18.2,0.84,11921,2.339838533
skaha,2019,5094796,jul,20.4,0.787096774,12617.5,2.476546657
skaha,2019,5094796,aug,20.9,0.677419355,12022.5,2.359760823
skaha,2019,5094796,sep,15.8,2.033333333,11707.5,2.297933028
skaha,2019,5094796,oct,7,0.664516129,13289.5,2.608445952
skaha,2019,5094796,nov,2.7,0.466666667,2173.5,0.426611782
skaha,2019,5094796,dec,,,,
skaha,2020,5158728,jan,,,,
skaha,2020,5158728,feb,,,,
skaha,2020,5158728,mar,,,,
skaha,2020,5158728,apr,8,0.24,4564,0.884714216
skaha,2020,5158728,may,13.8,2.2,6216,1.204948197
skaha,2020,5158728,jun,16.4,2.414285714,14801.5,2.869215047
skaha,2020,5158728,jul,20.3,0.567741935,15225,2.951308927
skaha,2020,5158728,aug,20.7,0.407407407,9345,1.811493066
skaha,2020,5158728,sep,16.8,0.24,10734.5,2.080842409
skaha,2020,5158728,oct,8.8,1.603333333,13562.5,2.629039562
skaha,2020,5158728,nov,,,,
skaha,2020,5158728,dec,,,,
skaha,2021,5214805,jan,,,,
